,zip,universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url,rating,year,rating-description
0,30303,1306754,130002703682,8920198,Department Of Human Resources,"Department Of Human Resources, a public school located in Atlanta, GA, serves grades PK-12 in the Department Of Human Resources.",public,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",2 Peachtree Street Northwest,Atlanta,GA,13121,(404) 657-0435,,Fulton County,33.753963,-84.390221,Department Of Human Resources,206,http://www.dhr.state.ga.us,https://www.greatschools.org/georgia/atlanta/6754-Department-Of-Human-Resources/,,,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process."
1,30303,1306933,130023104095,78201190119,Graduation Achievement Center Charter High School,"Graduation Achievement Center Charter High School, a charter school located in Atlanta, GA, serves grades 9-12 in the State Charter Schools Provost Academy Georgia.",charter,h,"9,10,11,12",235 Peachtree St NW,Atlanta,GA,13121,(844) 776-8678,,Fulton,33.760502,-84.387169,State Charter Schools Provost Academy Georgia,250,gradgeorgia.com,https://www.greatschools.org/georgia/atlanta/6933-Graduation-Achievement-Center-Charter-High-School/,,,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process."
2,30303,1308742,130228004261,6601321,Wellspring Living,"Wellspring Living, a public school located in Atlanta, GA, serves grades 8-9, 11 in the Fulton County School District.",public,"m,h","8,9,11",100 Edgewood Avenue Southeast,Atlanta,GA,13121,(678) 246-9998,,Fulton County,33.754742,-84.385574,Fulton County School District,73,,https://www.greatschools.org/georgia/atlanta/8742-Wellspring-Living/,,,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process."
3,30303,1309128,A1901569,,The Life School of Atlanta,"The Life School of Atlanta, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",190 Pryor Street Southwest,Atlanta,GA,13121,(404) 343-0064,,Fulton County,33.749504,-84.39209,,0,,https://www.greatschools.org/georgia/atlanta/9128-The-Life-School-Of-Atlanta/,,,"The GreatSchools Rating helps parents compare schools within a state based on a variety of school quality indicators and provides a helpful picture of how effectively each school serves all of its students. Ratings are on a scale of 1 (below average) to 10 (above average) and can include test scores, college readiness, academic progress, advanced courses, equity, discipline and attendance data. We also advise parents to visit schools, consider other information on school performance and programs, and consider family needs as part of the school selection process."
