,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
44,30114.0,406329.0,414707.0,424943.0,434969.0,442906.0,448301.0,451991.0,454906.0,456502.0,455865.0,454571.0,451804.0,441482.8333333333
45,30117.0,237349.0,242544.0,247239.0,251847.0,257150.0,262145.0,265648.0,267255.0,268584.0,268031.0,267592.0,266311.0,258474.58333333334
46,30116.0,256345.0,261659.0,266091.0,271420.0,277730.0,283287.0,286817.0,288222.0,289357.0,288621.0,288500.0,287857.0,278825.5
47,30120.0,276051.0,282114.0,287708.0,292354.0,298906.0,306026.0,311289.0,315138.0,317336.0,319916.0,321736.0,323222.0,304316.3333333333
48,30121.0,264753.0,270628.0,275982.0,280779.0,286160.0,292603.0,296859.0,300610.0,302705.0,305603.0,307214.0,307774.0,290972.5
49,30341.0,512766.0,520048.0,526813.0,532482.0,539809.0,548239.0,553021.0,555955.0,554467.0,553721.0,552340.0,554619.0,542023.3333333334
50,30268.0,281472.0,291421.0,300127.0,309111.0,313401.0,318000.0,320553.0,323005.0,324104.0,323874.0,324533.0,325076.0,312889.75
51,30021.0,278474.0,283787.0,285537.0,285932.0,290656.0,297087.0,303719.0,306875.0,308542.0,307869.0,306262.0,305933.0,296722.75
52,30337.0,305913.0,311476.0,317662.0,323513.0,329348.0,334051.0,337163.0,338435.0,339997.0,338791.0,339087.0,338250.0,329473.8333333333
53,,,,,,,,,,,,,,
54,30288.0,205893.0,210574.0,215061.0,219386.0,225776.0,231585.0,233717.0,232503.0,228521.0,226079.0,226108.0,227817.0,223585.0
55,30094.0,301763.0,309176.0,315590.0,319943.0,323304.0,328841.0,333008.0,338016.0,336934.0,335965.0,336023.0,338671.0,326436.1666666667
56,30012.0,243080.0,248954.0,253698.0,256989.0,259891.0,264570.0,268004.0,271622.0,271126.0,270750.0,271477.0,273947.0,262842.3333333333
57,30013.0,304639.0,311849.0,318258.0,322776.0,327019.0,333103.0,337630.0,342054.0,340787.0,339624.0,339595.0,341448.0,329898.5
58,30016.0,261798.0,270651.0,279058.0,286124.0,292379.0,296652.0,299892.0,301793.0,300266.0,296479.0,292609.0,290654.0,289029.5833333333
59,30014.0,268502.0,276354.0,283334.0,289458.0,294286.0,297594.0,299057.0,300176.0,298530.0,295184.0,291753.0,289616.0,290320.3333333333
60,30040.0,513970.0,525279.0,540332.0,556031.0,571011.0,580631.0,585854.0,586820.0,585126.0,583321.0,584921.0,582692.0,566332.3333333334
61,30041.0,555195.0,567762.0,583775.0,600421.0,615710.0,625441.0,629846.0,630190.0,627906.0,625769.0,627635.0,625088.0,609561.5
62,30028.0,469466.0,479843.0,493134.0,507282.0,520464.0,528652.0,533119.0,534229.0,532779.0,530894.0,531782.0,529600.0,515937.0
63,30019.0,418836.0,424887.0,432491.0,443726.0,453983.0,460262.0,459269.0,457140.0,454891.0,454526.0,455067.0,452822.0,447325.0
64,30157.0,301335.0,307587.0,315795.0,323725.0,331975.0,338394.0,341833.0,342360.0,340313.0,336706.0,334985.0,332264.0,328939.3333333333
65,,,,,,,,,,,,,,
66,30534.0,404063.0,416201.0,421621.0,427675.0,430365.0,427528.0,413424.0,399224.0,389912.0,390154.0,390499.0,392086.0,408562.6666666667
